Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,30,19,0,0,0,0,10.3,0,0,0,0,0.262,56.89,178.94,0.2,1016,0.8,41,5.7
2019,1,1,1,30,18.7,0,0,0,0,10.3,0,0,0,0,0.263,57.98,165.47,0.2,1015,0.8,40,5.8
2019,1,1,2,30,18.3,0,0,0,0,10.4,0,0,0,0,0.263,59.84,151.69,0.2,1015,0.8,38,5.7
2019,1,1,3,30,18,0,0,0,0,10.5,0,0,0,0,0.263,61.6,137.98,0.2,1015,0.9,37,5.6
2019,1,1,4,30,17.9,0,0,0,0,10.7,0,0,0,0,0.264,62.71,124.4,0.2,1015,0.9,36,5.5
2019,1,1,5,30,18.9,0,0,0,1,13.5,0,0,0,0,0.226,71.02,111.03,0.2,1019,0.8,61,4.1
2019,1,1,6,30,18.9,0,0,0,0,13.6,0,0,0,0,0.226,71.3,97.94,0.2,1020,0.8,64,3.9
2019,1,1,7,30,19.3,31,217,49,1,13.7,31,217,0,49,0.226,70,85.14,0.2,1021,0.8,63,3.9
2019,1,1,8,30,20.2,83,581,250,0,13.8,83,581,0,250,0.226,66.64,73.31,0.2,1022,0.8,57,3.8
2019,1,1,9,30,21.6,111,747,455,0,13.6,111,747,0,455,0.226,60.19,62.51,0.2,1022,0.8,54,3.6
2019,1,1,10,30,23.4,125,827,617,0,10.8,125,827,0,617,0.226,45.1,53.51,0.2,1021,0.9,53,3.4
2019,1,1,11,30,24.5,149,832,712,0,8.1,149,832,0,712,0.226,35.19,47.36,0.2,1020,0.9,40,2.8
2019,1,1,12,30,25,151,847,747,0,7.4,151,847,0,747,0.226,32.52,45.25,0.2,1019,0.9,193,2.5
2019,1,1,13,30,25.2,146,831,704,1,8,146,831,0,704,0.225,33.41,47.74,0.2,1018,1,347,2.9
2019,1,1,14,30,25.1,142,768,591,0,8.9,142,768,0,591,0.225,35.86,54.17,0.2,1018,1,334,3.3
2019,1,1,15,30,25,119,679,424,0,9.4,119,679,0,424,0.225,37.16,63.37,0.2,1018,1.1,326,3.5
2019,1,1,16,30,24.3,85,510,223,0,9.3,85,510,0,223,0.225,38.46,74.28,0.2,1018,1.1,319,3.5
2019,1,1,17,30,23.6,24,142,33,0,9.1,24,142,0,33,0.225,39.58,86.16,0.2,1019,1.2,312,3.2
2019,1,1,18,30,23.1,0,0,0,0,8.8,0,0,0,0,0.226,40.13,99.04,0.2,1019,1.2,307,3
2019,1,1,19,30,22.9,0,0,0,0,8.7,0,0,0,0,0.227,40.36,112.16,0.2,1019,1.2,301,2.9
2019,1,1,20,30,22.7,0,0,0,0,9.2,0,0,0,0,0.228,42.21,125.57,0.2,1019,1.2,298,3.1
